X,Y,Z
0.417772,0.103620,0.666362
0.417454,0.104255,0.666259
0.417095,0.104903,0.666148
0.416694,0.105565,0.666030
0.416252,0.106238,0.665904
0.415769,0.106925,0.665772
0.415257,0.107625,0.665638
0.414719,0.108339,0.665505
0.414162,0.109065,0.665375
0.413588,0.109802,0.665249
0.413003,0.110551,0.665130
0.412411,0.111315,0.665022
0.411817,0.112092,0.664926
0.411225,0.112877,0.664843
0.410641,0.113666,0.664775
0.410066,0.114457,0.664721
0.409503,0.115248,0.664682
0.408954,0.116035,0.664658
0.408419,0.116817,0.664651
0.407896,0.117594,0.664661
0.407383,0.118370,0.664687
0.406878,0.119144,0.664730
0.406379,0.119916,0.664791
0.405886,0.120683,0.664867
0.405400,0.121440,0.664959
0.404920,0.122185,0.665066
0.404448,0.122912,0.665186
0.403984,0.123619,0.665320
0.403535,0.124301,0.665468
0.403105,0.124956,0.665632
0.402696,0.125580,0.665812
0.402311,0.126170,0.666007
0.401951,0.126723,0.666218
0.401620,0.127239,0.666446
0.401318,0.127716,0.666692
0.401047,0.128153,0.666955
0.400806,0.128545,0.667235
0.400594,0.128892,0.667530
0.400415,0.129192,0.667842
0.400270,0.129444,0.668171
0.400162,0.129649,0.668518
0.400089,0.129808,0.668884
0.400052,0.129920,0.669267
0.400051,0.129988,0.669669
0.400083,0.130011,0.670088
0.400148,0.129992,0.670524
0.400245,0.129929,0.670978
0.400373,0.129825,0.671447
0.400529,0.129680,0.671930
0.400713,0.129494,0.672428
0.400922,0.129268,0.672939
0.401154,0.129002,0.673461
0.401407,0.128698,0.673992
0.401680,0.128354,0.674532
0.401971,0.127972,0.675078
0.402279,0.127552,0.675631
0.402603,0.127095,0.676189
0.402942,0.126601,0.676752
0.403294,0.126073,0.677317
0.403657,0.125508,0.677883
0.404025,0.124906,0.678446
0.404396,0.124266,0.679002
0.404765,0.123588,0.679549
0.405130,0.122874,0.680085
0.405488,0.122124,0.680607
0.405837,0.121339,0.681114
0.406174,0.120521,0.681604
0.406495,0.119672,0.682073
0.406792,0.118792,0.682517
0.407059,0.117881,0.682933
0.407297,0.116939,0.683320
0.407511,0.115968,0.683679
0.407710,0.114970,0.684015
0.407900,0.113947,0.684329
0.408084,0.112903,0.684623
0.408263,0.111843,0.684900
0.408436,0.110767,0.685159
0.408604,0.109682,0.685401
0.408766,0.108589,0.685628
0.408916,0.107499,0.685840
0.409051,0.106417,0.686037
0.409167,0.105350,0.686221
0.409262,0.104305,0.686392
0.409334,0.103289,0.686552
0.409383,0.102310,0.686705
0.409408,0.101373,0.686853
0.409410,0.100477,0.686993
0.409389,0.099621,0.687128
0.409347,0.098806,0.687257
0.409285,0.098028,0.687380
0.409204,0.097287,0.687497
0.409106,0.096580,0.687607
0.408992,0.095906,0.687710
0.408862,0.095264,0.687806
0.408720,0.094651,0.687894
0.408571,0.094061,0.687974
0.408414,0.093490,0.688043
0.408258,0.092935,0.688103
0.408110,0.092397,0.688156
0.407971,0.091876,0.688205
0.407843,0.091379,0.688252
0.407724,0.090913,0.688300
0.407613,0.090487,0.688354
0.407505,0.090106,0.688415
0.407398,0.089774,0.688485
0.407287,0.089495,0.688564
0.407170,0.089271,0.688653
0.407045,0.089103,0.688752
0.406909,0.088990,0.688860
0.406762,0.088932,0.688977
0.406602,0.088928,0.689102
0.406428,0.088974,0.689234
0.406242,0.089070,0.689372
0.406042,0.089212,0.689515
0.405829,0.089397,0.689662
0.405602,0.089624,0.689812
0.405360,0.089890,0.689962
0.405102,0.090193,0.690112
0.404827,0.090532,0.690261
0.404535,0.090903,0.690407
0.404226,0.091306,0.690549
0.403898,0.091738,0.690685
0.403552,0.092196,0.690814
0.403188,0.092679,0.690936
0.402804,0.093185,0.691048
0.402402,0.093712,0.691151
0.401981,0.094260,0.691244
0.401541,0.094825,0.691325
0.401082,0.095408,0.691394
0.400605,0.096005,0.691450
0.400108,0.096616,0.691494
0.399594,0.097238,0.691523
0.399061,0.097869,0.691537
0.398506,0.098506,0.691534
0.397933,0.099145,0.691512
0.397351,0.099787,0.691478
0.396770,0.100429,0.691436
0.396197,0.101072,0.691387
0.395634,0.101714,0.691336
0.395087,0.102354,0.691283
0.394554,0.102996,0.691232
0.394037,0.103643,0.691184
0.393533,0.104297,0.691142
0.393044,0.104960,0.691107
0.392570,0.105631,0.691081
0.392113,0.106310,0.691062
0.391674,0.106992,0.691053
0.391257,0.107673,0.691052
0.390865,0.108350,0.691060
0.390497,0.109022,0.691077
0.390153,0.109690,0.691104
0.389835,0.110351,0.691140
0.389541,0.111006,0.691186
0.389273,0.111652,0.691242
0.389031,0.112289,0.691307
0.388817,0.112915,0.691382
0.388629,0.113529,0.691468
0.388470,0.114128,0.691562
0.388339,0.114709,0.691664
0.388237,0.115269,0.691775
0.388162,0.115808,0.691892
0.388112,0.116323,0.692014
0.388082,0.116813,0.692140
0.388070,0.117274,0.692265
0.388075,0.117703,0.692390
0.388095,0.118099,0.692512
0.388131,0.118460,0.692630
0.388184,0.118783,0.692745
0.388254,0.119067,0.692855
0.388342,0.119310,0.692960
0.388451,0.119512,0.693061
0.388579,0.119671,0.693157
0.388728,0.119788,0.693248
0.388899,0.119863,0.693335
0.389092,0.119896,0.693417
0.389307,0.119887,0.693495
0.389544,0.119837,0.693569
0.389805,0.119748,0.693639
0.390088,0.119621,0.693706
0.390394,0.119457,0.693770
0.390721,0.119257,0.693831
0.391071,0.119022,0.693889
0.391440,0.118754,0.693943
0.391829,0.118455,0.693993
0.392236,0.118125,0.694040
0.392661,0.117766,0.694082
0.393101,0.117380,0.694119
0.393557,0.116968,0.694151
0.394026,0.116530,0.694178
0.394508,0.116070,0.694199
0.394999,0.115586,0.694213
0.395495,0.115081,0.694217
0.395994,0.114554,0.694210
0.396492,0.114007,0.694191
0.396990,0.113440,0.694160
0.397485,0.112854,0.694114
0.397976,0.112251,0.694054
0.398462,0.111632,0.693979
0.398943,0.110997,0.693889
0.399417,0.110348,0.693783
0.399882,0.109690,0.693662
0.400334,0.109026,0.693524
0.400773,0.108358,0.693371
0.401195,0.107689,0.693202
0.401600,0.107020,0.693016
0.401988,0.106353,0.692814
0.402358,0.105688,0.692596
0.402709,0.105030,0.692363
0.403041,0.104381,0.692114
0.403354,0.103741,0.691852
0.403648,0.103115,0.691575
0.403923,0.102503,0.691285
0.404178,0.101910,0.690984
0.404414,0.101338,0.690670
0.404630,0.100789,0.690346
0.404827,0.100264,0.690013
0.405007,0.099765,0.689672
0.405170,0.099292,0.689323
0.405316,0.098845,0.688967
0.405448,0.098424,0.688604
0.405565,0.098030,0.688235
0.405668,0.097661,0.687860
0.405759,0.097319,0.687480
0.405839,0.097002,0.687095
0.405911,0.096709,0.686707
0.405978,0.096440,0.686315
0.406039,0.096196,0.685922
0.406094,0.095977,0.685528
0.406144,0.095786,0.685134
0.406193,0.095624,0.684743
0.406243,0.095493,0.684358
0.406297,0.095395,0.683981
0.406353,0.095330,0.683612
0.406411,0.095300,0.683253
0.406469,0.095306,0.682904
0.406525,0.095351,0.682566
0.406578,0.095435,0.682240
0.406624,0.095557,0.681924
0.406663,0.095717,0.681619
0.406693,0.095913,0.681323
0.406711,0.096144,0.681034
0.406716,0.096407,0.680753
0.406708,0.096701,0.680477
0.406684,0.097023,0.680206
0.406643,0.097371,0.679937
0.406585,0.097744,0.679670
0.406508,0.098138,0.679403
0.406411,0.098552,0.679135
0.406293,0.098983,0.678864
0.406154,0.099430,0.678590
0.405991,0.099892,0.678311
0.405808,0.100369,0.678028
0.405603,0.100861,0.677743
0.405383,0.101367,0.677457
0.405153,0.101888,0.677173
0.404916,0.102422,0.676892
0.404674,0.102970,0.676617
0.404431,0.103531,0.676348
0.404186,0.104106,0.676087
0.403942,0.104693,0.675835
0.403700,0.105293,0.675592
0.403461,0.105903,0.675359
0.403226,0.106524,0.675137
0.402994,0.107156,0.674927
0.402769,0.107797,0.674729
0.402550,0.108447,0.674544
0.402339,0.109106,0.674373
0.402135,0.109773,0.674215
0.401939,0.110447,0.674072
0.401751,0.111128,0.673943
0.401571,0.111813,0.673829
